website,suburb,company,phone,state,street,postcode
http://www.thepropertycentrerockdale.com.au,Rockdale,The Property Centre Rockdale,02 9599 6555,NSW,426 Princess Highway,2216
,Blakehurst,REEF RESORT APARTMENTS,02 9979 5764,NSW,65 HATFIELD STREET,2221
http://www.gregpaynerealestate.com.au,Kogarah,Greg Payne Real Estate,02 9553 6335,NSW,6 Gray Street,2217
http://www.livingherekogarah.com.au,Kogarah,Living Here Kogarah,02 95531000,NSW,Level 1/1A Montgomery Street,2217
http://www.gkproperty.com.au/,Kogarah,GK Property Agents,02 83556865,NSW,19 Station Street,2217
http://www.chasepropertygroup.com.au/,Kogarah,Chase Property Group,02 8567 5455,NSW,13 Regent St,2217
http://www.commercial.net.au,Kogarah,Commercial Property Group - Bennett,02 95463555,NSW,"Level 2, Suite 2, 168 Rocky Point Road",2217
http://www.c21.com.au/kogarah,Kogarah,Century 21 Elite,02 9588 4455,NSW,114 Railway Parade,2217
http://www.18re.com.au,Kogarah,Eighteen Real Estate,02 95883333,NSW,"Shop 3, 18 Regent Street",2217
http://www.argyproperty.com.au,Kogarah,Argy Property,02 9588 4888,NSW,5 Regent St,2217
http://www.rh.com.au/kogarah,Kogarah,Raine & Horne Kogarah,02 9588 7722,NSW,25 Regent Street,2217
http://www.montgomeryrealestate.com.au,Kogarah,Montgomery Real Estate Kogarah,02 9588 3455,NSW,2 Montgomery Street,2217
,Blakehurst,RR Estate Agents,0420988080,NSW,8 Dwyer Avenue,2221
http://www.ljhooker.com.au/rockdale,Rockdale,LJ Hooker Rockdale,02 95975777,NSW,94 Railway street,2216
http://raywhiterockdale.com.au/,Rockdale,Ray White Rockdale,02 9553 1999,NSW,Cnr. Princes Highway & Rockdale Plaza Drive,2216
http://www.rwproperty.com.au,Rockdale,Richardson & Wrench Rockdale,02 9567 7755,NSW,455 Princes Highway,2216
http://www.rockdale.ljhooker.com.au,Rockdale,LJ Hooker Rockdale,02 9597 6144,NSW,426 Princess Hwy,2216
http://www.beydounrealestate.com.au/,Rockdale,BEYDOUN Real Estate,02 9599 1466,NSW,2/558-560 Princess Hwy,2216
http://www.lionsrealestate.com.au,Rockdale,Lions Real Estate NSW,02 9786 7520,NSW,"Level 2, 8-10 Kings Street",2216
http://www.mansenre.com.au,Rockdale,Mansen Real Estate,02 8061 6488,NSW,"Level2, 10King street",2216
http://www.domainnsw.com.au,Rockdale,Domain NSW Real Estate,,NSW,Shop 2 / 8 Market St,2216
http://www.gardnerproperty.com.au,Rockdale,Gardner Property Agents,02 9597 3466,NSW,11 Bryant St,2216
http://www.propertypathways.net.au,Revesby,Property Pathways Real Estate,02 8798 9575,NSW,33/172 Milperra Read,2212
http://www.clarkenationalrealty.com.au,Revesby,Clarke National Realty,02 9773 7888,NSW,Shop 8 Palm Court 25-35 Selems Pde,2212
http://www.ausrealty.com.au,Revesby,Ausrealty Revesby,(02) 9071 8668,NSW,4/36 Selems Parade,2212
,Revesby,Brooker & Co.,0404 888 060,NSW,P.O. Box 749,2212
http://www.century21.com.au/innovativerealty,Revesby,Century 21 Innovative Realty,02 9792 6400,NSW,"Shop 3, 8-10 Revesby Place",2212
,Revesby,McGrath Revesby,02 85799788,NSW,8 Marco Avenue,2212
,Revesby,Ray White Padstow Revesby,02 97927777,NSW,"Level 1, 133 The River Road",2212
http://oneagency.com.au/,Padstow,One Agency Darren Musgrave,02 97735833,NSW,PO BOX 300,2211
http://www.randw.com.au/padstow,Padstow,Richardson & Wrench Padstow,02 9774 2999,NSW,Shop 1/156-160 Alma Road,2211
http://www.industrialzone.com.au,Padstow,Industrial Zone Real Estate,0297098885,NSW,U3/60 Fairford Road,2211
http://www.daystar.com.au,Padstow,First National Real Estate Daystar,02 9792 2799,NSW,3/78 Cahors Rd,2211
http://www.ljhooker.com.au/padstow,Padstow,LJ Hooker Padstow,02 9771 1177,NSW,2 Padstow Parade,2211
http://www.professionalspadstow.com.au,Padstow,Chambers Fleming Professionals Padstow,02 9771 4555,NSW,2 Faraday Road,2211
http://www.bluemarqcommercial.com.au,Padstow,Bluemarq Commercial,,NSW,PO Box 95,2211
http://raywhiteriverwood.com.au,Riverwood,Ray White Riverwood,02 9533 3888,NSW,60 Thurlow Street,2210
http://www.ljh.com.au/riverwood,Riverwood,LJ Hooker Riverwood,02 9533 1111,NSW,164 Belmore Road,2210
http://www.ausrealtyea.com.au,Riverwood,Ausrealty Estate Agents - Riverwood,02 9011 6888,NSW,216 Belmore Road,2210
http://www.raywhitesanssouci.com.au/,Sans Souci,Ray White Sans Souci,02 9588 6011,NSW,42 Rocky Point Road,2219
http://www.honerdodd.com.au,Sans Souci,Honer Dodd Realty,02 9529 6699,NSW,243 Rocky Point Rd,2219
http://www.rentitrealestate.com.au,Sans Souci,Rent It Real Estate,0405592403,NSW,PO BOX 74,2219
http://www.rhsanssouci.com.au,Sans Souci,Raine & Horne Sans Souci,02 95831616,NSW,357 Rocky Point Road,2219
,Sans Souci,McGrath Sans Souci,02 9529 3633,NSW,333 Rocky Point Road,2219
http://www.palmbeachfn.com.au,Palm Beach,First National Palm Beach,07 55599600,QLD,15 Palm Beach Avenue,4221
http://www.raywhitepalmbeachqld.com.au,Palm Beach,Ray White Palm Beach,07 5525 6700,QLD,"Level 1, 4 Sixth Avenue",4221
http://www.australianpropertyagency.com.au,Palm Beach,Australian Property Agency,07 56066766,QLD,Australian Property Agency,4221
http://www.kathfreemanrealty.com.au/,Palm Beach,Kath Freeman Realty,07 55991600,QLD,PO Box 1082,4221
http://metroiq.com.au/,Palm Beach,Metro IQ,0439 030829,QLD,U1/2 Seventeenth Avenue,4221
,Palm Beach,McGrath Palm Beach,07 5534 0300,QLD,17 Sixth Avenue,4221
http://www.palmbeachqld.ljhooker.com.au/,Palm Beach,LJ Hooker Palm Beach,07 5534 4033,QLD,Shop 2 10 Fifth Avenue,4221
http://www.prdpalmbeach.com.au,Palm Beach,PRD Nationwide Palm Beach,07 55346044,QLD,1128 Gold Coast Highway,4221
http://www.completepmg.com.au,Palm Beach,Complete Property Management Group,07 5598 2220,QLD,1/33 Palm Beach Avenue,4221
,Lugarno,Belle Property Lugarno,02 9534 5577,NSW,Suite 2/1020A Forest Road,2210
http://www.sandersnoonan.com,Lugarno,Sanders Noonan Lugarno,02 95709999,NSW,Shop 2/1012 Forest Rd,2210
http://www.dalgetysquare.com.au,Ultimo,Dalgety Square Property Services,(02) 9280 1617,NSW,"Management Office, Dalgety Square Apartments 99 Jones Street",2007
http://www.auspointrealty.com.au,Ultimo,Auspoint Realty,02 92117388,NSW,3/330 Wattle St,2007
http://www.grandsydney.com.au,Ultimo,Grand Sydney Realty,02 9212 3023,NSW,Shop 96/460 Jones Street,2007
http://www.raineandhorne.com.au/broadway,Ultimo,Raine & Horne Broadway,02 9211 8080,NSW,Shop 16 185-211 Broadway,2007
http://www.toga.com.au,Ultimo,TOGA | Penway Place Penrith,1800 736 929,NSW,Level 5/45 Jones St,2007
,Ultimo,Central Sydney Realty,02 9518 8088,NSW,107/55 Jones Street,2007
,Ultimo,Toga Sales & Leasing,02 93561000,NSW,"Level 5, 45 Jones St",2007
http://www.asuproperties.com.au,Ultimo,A.S.U. Properties Pty Ltd,02 92818222,NSW,Shop 90/69-81 William Henry St,2007
,Ultimo,HOMEONE property pty ltd,02 9212 5642,NSW,56/89 Jones Street,2007
http://xkl.com.au,Chippendale,XKL Investment Group,02 96363360,NSW,2014/18 Park Lane,2008
http://www.greencliff.com.au,Chippendale,Greencliff Agency Central Park,02 91996555,NSW,101/5 Carlton Street,2008
http://www.3pr.com.au,Chippendale,Three Property,02 8399 3322,NSW,17 Blackfriars St,2000
http://www.century21.com.au/bankstown,Bankstown,Century 21 Homezone Real Estate,02 97908800,NSW,388 Chapel Road,2200
http://www.commercialproperty.net,Bankstown,Niemeyer Commercial Industrial Property,02 9707 2199,NSW,"Suite 3, 1st floor, 69 The Mall",2200
http://www.questrealtygroup.com.au,Bankstown,Quest Realty Group,02 9708 5558,NSW,370 Chapel Road,2200
http://www.wiseberry.com.au/bankstown,Bankstown,Wiseberry Bankstown,02 9790 2222,NSW,372 Chapel Road,2200
http://www.homeworldrealty.com.au,Bankstown,Home World Realty,02 9796 7277,NSW,21 Marion Street,2200
http://www.propertyfusion.com.au,Bankstown,Property Fusion Australia,02 9793 3722,NSW,Suite 8 46-48 Restwell Street,2200
http://www.raywhitebankstown.com.au,Bankstown,Ray White Bankstown,02 9793 3333,NSW,68 Marion St,2200
http://www.raineandhorne.com.au/bankstown,Bankstown,Raine & Horne Bankstown,02 9708 2220,NSW,Shop 2 2-4 Featherstone Street,2200
http://www.jjcrawford.com.au,Bankstown,First National Real Estate JJ Crawford,(02) 9708 5888,NSW,9-69 The Mall,2200
http://www.raybinerrealestate.com.au,Gladstone Park,RAY BINER REAL ESTATE,03 93384088,VIC,Shop 21A Gladstone Park Shopping Centre,3043
http://www.stockdaleleggo.com.au/gladstonepark,Gladstone Park,Stockdale & Leggo Gladstone Park,03 90395533,VIC,Shop 158/8-34 Gladstone Park Shopping Centre,3043
http://www.barryplant.com.au,Gladstone Park,Barry Plant Gladstone Park,03 9330 1088,VIC,Shop 156E Gladstone Park Shopping Centre,3043
http://www.ypa.com.au,Gladstone Park,YPA Gladstone Park,03 93387111,VIC,Shop 154 Gladstone Park Shopping Centre,3043
http://www.nimbinhills.com.au/,Nimbin,Nimbin Hills Real Estate,0266891498,NSW,74A Cullen Street,2480
http://www.nimbinrealestate.com.au,Nimbin,Nimbin Lifestyle Real Estate,02 6689 1305,NSW,66 Cullen Street,2480
http://www.gjgardner.com.au,Tullamarine,GJ Gardner Homes VIC,13 27 89,VIC,1/99-101 Western Ave,3043
,Tullamarine,IBN International Pty Ltd,03 9330 0280,VIC,12/67 Garden Dr,3043
http://www.granvuehomes.com.au/,Tullamarine,Granvue Homes,1300 135 440,VIC,Unit 3/2-4 Logistics St,3043
http://www.gjgardner.com.au,Tullamarine,GJ Gardner Homes TAS,132789,VIC,1/99-101 Western Ave 3043,3043
http://www.ljhooker.com.au/tullamarine,Tullamarine,LJ Hooker Tullamarine,03 9338 8933,VIC,191 Melrose Drive,3043
,Tullamarine,Motto Property Group Pty Ltd.,0415847784,VIC,PO Box 1591,3043
http://www.jasonrealestate.com.au,Tullamarine,Jason Real Estate Sales PTY LTD,,VIC,201B Melrose Drive,3043
http://www.sqmrealestate.com.au,Alexandria,SQM Real Estate,02 9669 4200,NSW,Unit 27 45-51 Huntley Street,2015
http://www.silverco.com.au,Alexandria,Silver & Co,02 93191666,NSW,1/252 Botany Road,2015
http://www.silverco.com.au/,Alexandria,Silver & Co,0293191666,NSW,Shop 1/252 Botany Road,2015
http://www.southsydneycommercial.com.au,Alexandria,South Sydney Commercial,02 96902669,NSW,18/112 McEvoy St,2015
http://ConnectAustraliaRealty.com.au,Alexandria,Connect Australia Realty,02 80657598,NSW,"Shop 3, 668 Botany Road",2015
http://www.myabode.net.au,Alexandria,My Abode Real Estate,02 9319 7700,NSW,Shop 3/45 Wyndham Street,2015
http://southsydney.ljhcommercial.com.au/,Alexandria,LJ Hooker Commercial South Sydney,02 9669 4402,NSW,191 Botany Road,2015
,Alexandria,Joandarc Realty,02 95577070,NSW,1.17/ 90-96 Burke Road,2015
http://www.blessre.com.au,Alexandria,Bless Real Estate,02 83389111,NSW,Shop 5/ 662 Botany Road,2015
http://theonewestend.com.au,West End,Conversionist Publishing Pty Ltd,1300 785691,QLD,89 Victoria St,4101
http://www.stockwell.com.au/,West End,Stockwell Development Group Pty Ltd,07 30046812,QLD,399 Montague Rd,4101
http://www.cksrealestate.com.au/,West End,CKS Real Estate,,QLD,PO Box 5668,4101
http://www.resortbrokers.com.au,West End,Resort Brokers Australia Pty Ltd,07 3878 3999,QLD,362 Montague Rd,4101
http://www.metrofn.com.au,West End,First National Metro,07 3840 5900,QLD,115 Boundary Street,4101
http://www.propertyinc.com.au/,West End,Property Inc,07 3255 1230,QLD,5 Browning Street,4101
http://raywhitewestend.com.au/,West End,Ray White West End,07 3844 4244,QLD,156 Boundary Street,4101
http://www.stockwell.com.au/,West End,Stockwell Property Management Pty Ltd,07 3004 6888,QLD,399 Montague Road,4101
http://www.imageproperty.com.au,West End,Image Property Management,1300 665 134,QLD,219 Boundary Street,4101
http://www.rh.com.au/toowoomba,Toowoomba City,Raine & Horne Toowoomba,07 4632 5111,QLD,611 Ruthven Street,4350
,Toowoomba City,Nest Estate Agents,0746420007,QLD,189 Herries St,4350
,Toowoomba City,Rangecrest Realty,0448 109 307,QLD,7 Thomas Street,4350
http://www.toowoomba.realway.com.au,Toowoomba City,Realway Toowoomba,07 46384400,QLD,106 Campbell St,4350
http://www.toowoombacapital.com/,Toowoomba City,Toowoomba Capital Real Estate,0439997678,QLD,32 Bowtell Street,4350
http://www.domain.com.au,Toowoomba City,Pam Butler Real Estate,,QLD,20 ruthben street,4350
http://www.crestmont.com.au,Toowoomba City,Crestmont Realty Group,,QLD,11 Bothwell Street Newtown,4350
http://www.westgarthrealty.com,Toowoomba City,Westgarth Realty,07 4630 1161,QLD,84 Herries Street,4350
,Toowoomba City,The Real Estate People,07 4633 8899,QLD,322 Ruthven Street,4350
http://www.hendersonrealty.com.au,Hurstville,Henderson Realty,02 9570 8222,NSW,"Shop 19, 15-19 Treacy Street",2220
http://www.xingwangproperty.com.au,Hurstville,Xing Wang Property Real Estate,02 95858586,NSW,28 Ormonde Parade,2220
,Hurstville,Eden Property Services,02 95862012,NSW,90/14-16 Ormonde Pde,2220
http://www.ljhooker.com.au/hurstville,Hurstville,LJ Hooker Hurstville,02 9580 8887,NSW,6/182 Forest Rd,2220
,Hurstville,CT Plus Realty Pty Ltd,02 9191 3112,NSW,Shop 20 15-19 Treacy Street,2220
http://ricrealty.com.au/,Hurstville,RIC Realty,02 9579 6466,NSW,30 The Avenue,2220
http://www.cityviewrealestate.com.au,Hurstville,Cityview Real Estate,02 9286 4622,NSW,"Shop 2, 25-35A Park Road",2220
http://www.mybase.biz,Hurstville,My Base Pty Ltd,(02) 8568 8788,NSW,Shop 63/14-16 Woodville St,2220
http://www.tonyfirmstone.com.au,Ramsgate,Tony Firmstone Real Estate,02 95295011,NSW,235 Rocky Point Road,2217
http://www.landlordschoice.com.au,Millers Point,Landlords Choice,1300 168 988,NSW,2701/168 Kent St,2000
,Barangaroo,Lendlease Sydney,02 94338000,NSW,"Level 14, Tower Three International Towers Sydney Exchange Place 300 Barangaroo Avenue",2000
,HAYMARKET,Kent Real Estate,0410 718 263,NSW,PO Box K989,2000
http://www.ljhooker.com.au/pyrmont,Pyrmont,LJ Hooker Pyrmont,02 9660 8933,NSW,Shop 5 233 Harris Street,2009
http://www.lindenwise.com/,Sydney,Linden Wise,02 80356488,NSW,"Level 9, 120 Sussex Street",2000
http://www.civium.com.au/,Phillip,Civium Property Group - Projects,02 6162 0681,ACT,17-23 Townshend Street,2606
http://www.currarongrealestate.com.au,Currarong,Currarong Real Estate,02 4448 3257,NSW,39 Walton Way,2540
http://www.qldvr.com.au,Petrie,QLD virtual Realty,07 31052884,QLD,PO Box 269,4502
http://www.ljhooker.com.au/petrie,Petrie,LJ Hooker Petrie,07 3285 2111,QLD,Shop 7 Petrie Village 15 Dayboro Road,4502
http://www.petrierealestate.com.au,Petrie,Petrie Real Estate Pty Ltd,07 3285 4144,QLD,Cnr Dayboro Road & River Street,4502
http://www.qldvr.com.au,Petrie,Queensland Virtual Realty,0415588922,QLD,PO Box 269,4502
http://darwin.colliers.com.au/darwin,Darwin City,Colliers International Darwin,08 8997 0888,NT,Level 1/13 Cavenagh Street,0800
http://www.dwn.mcgees.com.au,Darwin,McGees Property Darwin,08 89411550,NT,Level 1 82 Smith Street,0800
http://www.collinsvillerealestate.com.au,Collinsville,Collinsville Real Estate,07 47855198,QLD,17 Stanley Street,4804
http://www.canowindrarealestate.com,Canowindra,Canowindra Real Estate,02 6344 1083,NSW,21 Mill Street,2804
http://www.blowesrealestate.com.au/,Orange,Blowes Real Estate,02 6362 1233,NSW,119 Kite Street,2800
,Nightcliff,Emunah Investment Group,08 89281003,NT,"Unit 2, 171 Dick Ward Drive",0810
http://www.vivoproperty.com.au,Idalia,The Sanctuary Apartments,07 47291754,QLD,41-51 Oonoonba Road,4811
http://www.allaboutrealestate.net.au,Karama,ALL ABOUT REAL ESTATE,0438404848,NT,4/63 Kalymnos Drive,0812
http://www.dmrealty.com.au,Pimlico,DM Reality,0747244611,QLD,5/52 French Street,4812
http://www.raineandhorne.com.au/townsville,Hermit Park,Raine & Horne Townsville,0499500032,QLD,134 Charters Towers Road,4812
,Hyde Park,Ian Clarke Real Estate,07 4725 7388,QLD,169d Charters Towers Road,4812
http://www.buymyproperty.net.au,Mysterton,buymyproperty,07 47404604,QLD,1/227 Charters Towers Road,4812
,Leanyer,Great Northern Real Estate,,NT,7/17 Rosewood Crescent,0812
http://www.gedoundproperty.com.au,Currajong,Gedoun Property Group,07 47215555,QLD,"5/264 Woolcock Street,",4812
,Wulguru,Carolyn MacDonald Properties,0417816667,QLD,27 Linden Cres,4811
http://www.exploreproperty.com.au,Railway Estate,Explore Property Townsville,07 4750 4000,QLD,103 Boundary Street,4810
http://www.vivoproperty.com.au,Belgian Gardens,Castlepoint Apartments,07 32707504,QLD,171 Bundock Street,4810
http://www.beyond2000.com.au,Castle Hill,Beyond 2000 Real Estate,07 47712007,QLD,11 Cottesmore Cres,4810
,Muirhead,Oliver Hume,0417866202,NT,22 Coleman Street,0810
http://www.domain.com.au/rentright,Pallarenda,Rentright Property Management,07 4774 1129,QLD,45 Wackett Street,4810
http://www.koalabluerealestate.com.au,Townsville City,Koala Blue Real Estate Townsville,07 47245688,QLD,76 Denham Street,4810
http://www.keyesandco.com.au,Townsville City,Keyes & Co Property,07 4447 9010,QLD,505 Flinders Street,4810
http://raywhiteruraltownsville.com.au/,Townsville City,Ray White Rural Townsville,07 4721 2000,QLD,3/58 Blackwood Street,4810
http://www.townsvillerentals.com.au,Townsville City,Townsville Rentals,07 47222424,QLD,21-25 Sturt St,4810
http://www.nqrealty.com.au,Townsville City,NQ Realty,0409183568,QLD,1/58 Blackwood Street,4810
http://www.raywhitecommercial.com.au,Townsville City,Ray White Commercial Townsville,07 4726 7888,QLD,"Level 1, 41 Sturt Street",4810
http://townsville.eldersrealestate.com.au/,Townsville City,Elders Real Estate Townsville,07 4772 4000,QLD,"Shop 6, 41 Denham Street",4810
http://smartrentalstsv.com.au/,Townsville City,Smart Rentals Townsville,07 47714773,QLD,31 Blackwood Street,4810
http://townsville.colliers.com.au/,Townsville City,Colliers International Townsville,07 4722 2444,QLD,21-25 Sturt Street,4810
http://www.imcommercial.com.au,Townsville City,iMCommercial,07 47783073,QLD,PO Box 2247,4810
,Belgian Gardens,Kirwan Realty,0410423159,QLD,PO Box 26,4810
http://www.century21.com.au/townsville-city,Belgian Gardens,Century 21 Mario Torrisi,07 4721 6566,QLD,1/34 Primrose Street,4810
,Mysterton,Ready Realty NQ,07 47753888,QLD,3/257 Charters Towers Road,4812
http://www.raywhitetownsville.com.au,Mysterton,Ray White Townsville,07 4728 3663,QLD,suite G 263 Charters Towers Road,4812
http://www.alukaproperty.com.au,Mysterton,Aluka Property,07 47290223,QLD,"1/237 Charters Towers Road,",4812
http://hoganandmchugh.com.au,Hermit Park,Hogan & McHugh Pty Ltd,07 47255277,QLD,248 Charters Towers Road,4812
http://www.helenmunroproperty.com,Hermit Park,Helen Munro Property,07 47593900,QLD,254 Charters Towers Road,4812
http://www.raywhitetownsville.com.au,Hermit Park,Ray White Townsville,07 4759 3999,QLD,252 Charters Towers Road,4812
http://www.donnasandsproperty.com.au,Hermit Park,Donna Sands Boutique Property,07 4772 4446,QLD,106 Charters Towers Road,4812
http://www.eliteproperties.net.au,Hermit Park,Elite Properties Townsville,07 47258181,QLD,279B Charters Road,4812
http://www.pagepearce.com.au,Hermit Park,Page & Pearce Real Estate,07 47272450,QLD,269 - 271 Charters Towers Road,4812
http://www.krauseracitirealty.com.au,Hermit Park,Krause Raciti Realty,07 47791000,QLD,159F Charters Towers Road,4812
http://www.vprtownsville.com.au,Hermit Park,Virgo Patterson Realty,07 47757777,QLD,266C Charters Towers Road,4812
http://www.townsville.harcourts.com.au,Hermit Park,Harcourts Kingsberry Townsville,07 4772 2022,QLD,210 Charters Towers Road,4812
http://daringandyoung.com,Pimlico,Daring and Young Property,07 47281007,QLD,203 Kings Road,4812
http://www.pegasusgroup.com.au,Idalia,Pegasus Property Group,0410102222,QLD,Brookfield Terrace,4811
http://multibuilddevelopments.com.au,Nightcliff,Multibuild Homes,0413727133,NT,65 Progress Drive,0810
,Nightcliff,Inge Beller Real Estate Nightcliff,08 89481559,NT,shop 2 number 1 Pavonia Place,0810
http://territoryrealestate.com.au,Nightcliff,Territory Real Estate Darwin,08 89855678,NT,30 Progress Drive,0810
http://www.williamsmachin.com.au/,Orange,Williams Machin Real Estate,02 6362 6966,NSW,37 Sale Street,2800
http://www.mccormackbarber.com.au,Orange,McCormack Barber,02 6362 6566,NSW,184 Lords Place,2800
http://www.orangerealestate.com.au,Orange,Orange Real Estate,02 6360 0300,NSW,124 Summer Street,2800
http://www.mccarrons.com.au,Orange,McCarron Cullinane,02 6362 4755,NSW,119 Peisley Street,2800
,Orange,One Agency Orange,02 6362 9560,NSW,"Suite 2, Level 1, 205 - 207 Anson Street",2800
http://townsendrealestate.com.au,Orange,Townsend Real Estate,02 6362 4016,NSW,203 Lords Place,2800
http://www.orange.ljhooker.com.au,Orange,LJ Hooker Orange,02 6361 7622,NSW,23 Sale Street,2800
http://www.bmpa.com.au,Orange,Benchmark Rural & Lifestyle,02 6362 5988,NSW,194B Lords Place,2800
,Orange,Incentive Real Estate,0434243377,NSW,PO BOX 1289,2800
http://www.propertyshopdarwin.com,Darwin,Property Shop Darwin,08 8981 5000,NT,3 Shepherd Street,0800
http://www.rncnt.com.au,Darwin,Ray White Commercial NT,08 89433500,NT,1/43 Cavenagh Street,0800
,Darwin,Up Next Real Estate,08 8941 1970,NT,Suite 2/88 The Esplanade,0800
,Darwin,Home Zone NT,0418895345,NT,68 Cavenagh Street,0800
http://www.knightfrank.com,Darwin,Knight Frank Northern Territory,08 8982 2500,NT,Level 2/46 Smith Street Mall,0800
http://www.knightfrank.com,Darwin,Knight Frank Northern Territory,0889822500,NT,Level 2/46 Smith Street Mall,0800
http://www.elders.com.au/darwin,Darwin,Elders Real Estate Darwin,08 8981 1822,NT,70 Smith Street,0800
http://www.recentral.com.au,Darwin,Real Estate Central NT,08 89433000,NT,39 Cavenagh St,0800
http://www.stockdaleleggo.com.au/darwin/,Darwin,Stockdale & Leggo Darwin,08 89413222,NT,"Shop 3, 44 Cavanagh Street",0800
http://www.currarongrealestate.com.au,Currarong,Currarong Real Estate,02 4448 3257,NSW,39 Walton Way,2540
http://www.shawliving.com.au,Phillip,Shaw Living,02 6248 9995,ACT,"Level 1, 54-56 Colbee Court",2606
http://www.alphacommercialproperty.com.au,Phillip,Alpha Commercial Property,(02) 6282 6127,ACT,2a/62-64 Colbee Court,2606
http://www.rosinBROS.com.au,Phillip,Rosin Building,02 6247 4799,ACT,5a/61 Dundas Court,2606
http://www.civium.com.au/,Phillip,Civium Property Group - Residential,02 6162 0681,ACT,17 - 23 Townshend Street,2606
http://luton.com.au,Phillip,Luton Properties Woden,02 6281 6900,ACT,44-52 Townshend Street,2606
http://www.civium.com.au/,Phillip,Civium Property Group - Commercial,02 6162 0681,ACT,17-23 Townshend Street,2606
http://www.civium.com.au/,Phillip,Civium Property Group - Property Management,02 6162 0681,ACT,17-23 Townshend Street,2606
http://redbrickproperties.com.au,Phillip,Red Brick Properties,02 6115 9165,ACT,"Unit 5, 44-52 Townshend Street",2606
http://www.solarcert.com.au,Phillip,Solarcert,02 62852889,ACT,6/21 Colbee Court,2606
http://www.knightfrank.com.au/en,Sydney,Knight Frank - Sydney,0290366666,NSW,"Level 22, Angel Place 123 Pitt Street",2000
http://www.quayquarter.sydney/,Sydney,Quay Quarter Pty Ltd,,NSW,38-42 Bridge Street,2000
http://www.colliers.com.au,Sydney,Colliers International - Sydney,02 9257 0222,NSW,"Level 30, Grosvenor Place 225 George Street",2000
http://www.nirealty.com.au,Sydney,National Investment Realty,1800 229 258,NSW,"Level 39, 2 Park Street",2000
http://www.stockland.com.au,Sydney,Stockland,13 5263,NSW,"Level 25, 133 Castlereagh Street",2000
http://www.landmarkrealtygroup.com.au,Sydney,Landmark Realty Group Pty Ltd,02 8221 8819,NSW,"Level 14, 309 Kent Street",2000
http://www.gitrealty.com.au,Sydney,GIT Realty,02 80111988,NSW,"Suite 101, Level 1 379 Pitt St",2000
http://www.advancedresidential.com.au,Moil,Advanced Residential,0407471602,NT,78 Byrne Circuit,0810
http://raywhitejuliemahoney.com.au,North Ward,Ray White Julie Mahoney,07 44203722,QLD,46 Oxley Street,4810
http://www.stockdaleleggo.com.au/pakenham,Pakenham,Stockdale & Leggo Pakenham,03 59402255,VIC,4/89 Main Street,3810
http://www.analysisrealty.com.au/,Proserpine,Analysis Realty,0448088781,QLD,5 Badilla Crescent,4800
http://www.rh.com.au/proserpine,Proserpine,Raine & Horne Proserpine,07 4945 1344,QLD,35 Main St,4800
http://www.spannys.com.au/,Proserpine,Spannys Whitsunday Real Estate,07 4945 5770,QLD,56 Main St,4800
http://www.professionalswhitsundays.com.au/,Proserpine,Professional Whitsundays,07 4945 2555,QLD,57 Main Street,4800
http://neilsonpartners.com.au,Pakenham,First National Real Estate Neilson Partners Pakenham,03 59414444,VIC,130 Main St,3810
