website,src,suburb,company,phone,state,street,postcode,email
https://www.independent.com.au/,,Greenway,Independent Property Group Tuggeranong Town Centre,(02) 6209 7777,,"Flax House, 216-228 Cowlishaw Street",,
https://www.independent.com.au/,,Philip,Independent Property Group Woden,(02) 6209 5000,,46-50 Botany Street,,
https://www.independent.com.au/,,Turner,Independent Property Management,(02) 6209 1555,,"Ground Floor, Unisys Building, 91 Northbourne Avenue",,
https://www.linkedin.com/in/jeremy-francis-007b4a45,,Kingston,Jeremy Francis Properties Pty Ltd,(02) 6147 6000,,1A/61 Giles Street,,
http://www.keyact.com.au/,,Weston Creek,Key Real Estate,(02) 6294 8887,,"Unit 22, 41-43 Liardet Street",,
http://www.knightfrank.com/,,City,Knight Frank,0411 140 523,,"Level 12, 221 London Circuit",,
https://lsre.com.au/,,Turner,Laing Simmons,(02) 6209 5050,,91 Northbourne Avenue,,
https://www.landbancresidential.com.au/,,Kingston,Landbanc Residential,02 5105 3330,,Level 1/29 Jardine Street,,
http://littlebirdproperties.com.au/,,,Little Bird Properties,(02) 6153 3173,,,,
https://www.ljhooker.com.au/,,Belconnen,LJ Hooker Belconnen,(02) 6251 1477,,21 Benjamin Way,,
https://www.ljhooker.com.au/,,Canberra City,LJ Hooker Canberra City,(02) 6249 7700,,"First Floor, 182 – 200 City Walk",,
https://www.ljhooker.com.au/,,Dickson,LJ Hooker Dickson,(02) 6257 2111,,36 Woolley Street,,
https://www.ljhooker.com.au/,,Gungahlin,LJ Hooker Gungahlin,(02) 6213 3999,,46-50 Hibberson Street,,
https://www.ljhooker.com.au/,,Kaleen,LJ Hooker Kaleen,(02) 6241 1922,,Crn Maribyrnang Avenue & Georgina Crescent,,
https://www.ljhooker.com.au/,,Holt,LJ Hooker Kippax,(02) 6255 3888,,118 Hardwick Crescent,,
https://www.ljhooker.com.au/,,Weston Creek,LJ Hooker Weston Creek,(02) 6288 8888,,23 Brierly Street,,
https://www.ljhooker.com.au/,,Woden,LJ Hooker Woden,(02) 6223 2620,,"Unit 2, Ground Floor Francis Chambers Corinna Street",,
http://www.lovellresidential.com.au/,,Fyshwick,Lovell Residential,(02) 6280 5222,,Unit 4/57-61 Townsville Street,,
http://www.managemecanberra.com.au/,,Harrison,Manage Me Property Rentals,0418 645 095,,24 Casilda Street,,
https://www.mariaselleck.com.au/,,Manuka,Maria Selleck Properties,(02) 6162 1234,,30 Bougainville Street,,
https://mccannproperties.com.au/,,Wanniassa,McCann Properties,(02) 6171 2220,,3/43 Comrie Street,,
https://www.mcgrath.com.au/,,Dickson,McGrath Dickson,(02) 6262 5122,,4/3 Cape Street,,
https://mcintyreproperty.com.au/,,Conder,McIntyre Property,(02) 6294 9393,,"Shop 8, Lanyon Market Place",,
https://www.mcgrath.com.au/,,Gungahlin,McGrath Estate Agents Gungahlin,(02) 6123 8000,,"Level1, 46-50 Hibberson Street",,
https://www.morrisseyproperty.com.au/,,Gungahlin,Morrissey Property,0433 622 600,,57A Strayleaf Crescent,,
https://oneagency.com.au/office?office_id=98https://oneagency.com.au/office?office_id=98,,Conder ACT 2906,One Agency Andrew Thorpe,(02) 6393 9587,,PO Box 6366,,
http://www.peterblackshaw.com.au/,,Macquarie,Peter Blackshaw Belconnen,(02) 6251 9111,,13-15 Lawry Place,,
http://www.peterblackshaw.com.au/,,Turner ACT 2612,Peter Blackshaw City & Inner North,(02) 6248 8310,,91 Northbourne Avenue,,
http://www.peterblackshaw.com.au/,,Gungahlin,Peter Blackshaw Gungahlin,(02) 6241 9444,,63 Anthony Rolfe Avenue,,
http://www.peterblackshaw.com.au/,,Manuka,Peter Blackshaw Manuka,(02) 6295 2433,,25-27 Bougainville Street,,
http://www.peterblackshaw.com.au/,,Queanbeyan,Peter Blackshaw Queanbeyan & Jerrabomberra,(02) 6297 0005,,"Level 1, 68-70 Monaro Street",,
http://www.peterblackshaw.com.au/,,Erindale ACT 2903,Peter Blackshaw Tuggeranong,(02) 6296 7077,,8/33 Gartside Street,,
http://www.kouvelis.com.au/,,Garran,Philip Kouvelis Real Estate,(02) 6285 1590,,Garran Shopping Centre,,
https://www.professionalscanberrasouthside.com.au/,,Throsby,Professionals Canberra Southside,0409 846 506,,148 Bettong Avenue,,
http://www.rhccanberra.com.au/,,Kingston,Raine & Horne Commercial Canberra,(02) 6239 6888,,1/22 Giles Street,,
http://raywhitecanberra.com.au/,,Belconnen,Ray White Belconnen,(02) 6173 6300,,Cnr Josephson & Luxton Street,,
https://www.redbrickproperties.com.au/,,Phillip ACT 2606,Red Brick Properties,0455 559 622,,"Unit 5, 44-52 Townshend Street",,
http://www.rodmeatesproperty.com.au/,,Kingston,Rod Meates Property,0413 535 326,,PO Box 4706,,
http://www.riverviewgroup.com.au/the-riverview-group/,,Holt,Riverview Sales and Marketing Pty Ltd,0401 715 586,,90 Stockdill Drive,,
,,Jerrabomberra,Sandy Funston Real Estate,0414 629 996,,PO Box 106,,
http://www.wholisticpropertysolutions.com.au/,,Dickson,Wholistic Property Solutions,(02) 6241 3089,,7A/20 Challis Street,,
