website,suburb,company,phone,state,street,postcode,email
http://www.ontheavenue.com.au,PARAP,Remmah Properties,08 8943 9915,NT,SUITE 210 12 SALONIKA ST,0820,sales@ofh.com.au
http://realestateco.net.au,ALICE SPRINGS,@RealEstateCo,08 8953 8120,NT,LEVEL 1 44 BATH ST,0870,realestateco@realestateco.net.au
http://www.rentgp.com.au,FANNIE BAY,Real Estate NT by George Pikos,08 8941 9959,NT,16 BANYAN ST,0820,george@rentgp.com.au
http://www.recentral.com.au,DARWIN,Real Estate Central,08 8943 3000,NT,39 CAVENAGH ST,0800,sales@recentral.com.au
http://raywhitebayside.com.au,FANNIE BAY,Ray White Bayside,08 8986 7131,NT,SUITE 6 7 FANNIE BAY PL,0820,bayside.nt@raywhite.com
http://www.raineandhorne.com.au/darwin,,Raine & Horne Darwin,08 8941 8941,,,,admin@rhdarwin.com.au
/www.propertyshopdarwin.com,DARWIN,Property Shop Darwin,08 8981 5000,NT,3 SHEPHERD ST,0800,allison@propertyshopdarwin.com
http://www.professionalsalicesprings.com.au,ALICE SPRINGS,Professionals Real Estate,08 8952 5263,NT,TODD MALL,0870,sales@proalice.com.au
/www.professionalsdarwin.com.au,COCONUT GROVE,Professionals Darwin,08 8948 9300,NT,2/8 TOTEM RD,0810,reception@professionalsdarwin.com.au
http://prestigealice.com.au,,Prestige Property Management,08 8952 2849,,X,,reception@prestigealice.com.au
/www.ntrealty.com.au,,NT Realty,08 8983 3688,,,,admin@ntrealty.com.au
http://nowleasingnt.com.au,BERRIMAH,Now Leasing NT,08 8984 4404,NT,"212, BUILDING 2 631 STUART HWY",0828,admin@nowleasingnt.com.au
https://nhulunbuy.ljhooker.com.au,,LJ Hooker Nhulunbuy,08 8987 8103,,X,,nhulunbuy@ljh.com.au
http://alicesprings.ljhooker.com.au,ALICE SPRINGS,LJ Hooker Alice Springs,08 8950 6333,NT,SUITE 2 52 HARTLEY ST,0870,alicesprings@ljh.com.au
http://www.dwn.mcgees.com.au,DARWIN CITY,McGees Property,08 8941 1550,,LEVEL 1 82 SMITH ST,,darwin@mcgees.com.au
,KATHERINE,LJ Hooker Katherine,,NT,12 KATHERINE TCE,0850,
https://darwin.ljhooker.com.au,PARAP,LJ Hooker Darwin,08 8924 0900,NT,SHOP 1 25 PARAP RD,0820,reception@ljhookerdarwin.com.au
http://alicesprings.ljhooker.com.au,ALICE SPRINGS,LJ Hooker Alice Springs,08 8950 6333,NT,SUITE 2 52 HARTLEY ST,0870,alicesprings@ljh.com.au
http://landmarkharcourts.com.au,,Landmark Harcourts Alice Springs,08 8952 1722,,X,,andrew.stephens@landmark.com.au
http://kgyoung.com.au,DARWIN,KG Young & Associates,08 8943 2432,NT,74 CAVENAGH ST,0800,info@kgyoung.com.au
http://katherinerealestate.com.au,KATHERINE,Katherine Real Estate,08 8972 2055,NT,2/46 KATHERINE TCE,0850,reception@katherinerealestate.com.au
http://www.ipropertynt.com.au,BELLAMACK,iProperty NT,0404 877 261,NT,10 PYE ST,0832,peter@ipropertynt.com.au
,,Inge Beller Real Estate,08 8948 1559,,SHOP 2 1 PAVONIA PL,,inge.beller@bigpond.com
/www.homezonent.com.au,WINNELLIE,Home Zone NT,08 8947 6717,NT,524 STUART HWY,0820,reception@homezonent.com.au
http://www.halikos.com.au,DARWIN,Halikos Properties,08 8983 5520,,LEVEL 18 19 THE MALL,,properties@halikos.com.au
http://www.gowise.net.au,WOOLNER,Go Wise,08 8942 1200,NT,UNIT 5 16 CHARLTON CT,0820,admin@gowise.net.au
http://gordonandassociates.com.au,,Gordon & Associates,0417897921,,GIRRAWEEN,,info@gordonandassociates.com.au
http://framptons.com.au,ALICE SPRINGS,Framptons First National,08 8952 7833,NT,1/78 HARTLEY ST,0870,framptons@framptons.com.au
,COCONUT GROVE,Foster & Tarrant,0410 208 663,NT,7/18 CARYOTA CT,0810,office@fostertarrant.com.au
http://www.ofndarwin.com.au,DARWIN,First National O'Donoghues,08 8942 8942,NT,141 MITCHELL ST,0800,sales@ofndarwin.com.au
http://www.darwin.eldersrealestate.com.au,,Elders Real Estate Palmerston,08 8931 5000,,X,,matthew.pullman@elders.com.au
http://darwin.eldersrealestate.com.au,DARWIN,Elders Real Estate Darwin,08 8981 1822,NT,70 SMITH ST,0800,darwinsales@elders.com.au
http://www.alicesprings.eldersrealestate.com.au,ALICE SPRINGS,Elders Real Estate Alice Springs,08 8950 3200,NT,11 RAILWAY TCE,0870,alicesprings@eldersrealestate.com.au
http://www.empm.com.au,HOWARD SPRINGS,Elaine Mills Property Management,08 8983 1800,NT,323 BRONZEWING AVE,0835,elaine@empm.com.au
http://www.eldersrealestate.com.au,KATHERINE,Elders Real Estate Katherine,08 8972 3232,NT,442 VICTORIA HWY,0850,katherinere@elders.com.au
http://www.eare.com.au/,NHULUNBUY,East Arnhem Real Estate,08 8987 2209,NT,6 TRAEGER CLOSE INDUSTRIAL EST,0880,admin@eare.com.au
http://dunvegan.net.au/,,Dunvegan Real Estate,0408 952 595,,X,,dale@dunvegan.net.au
http://www.darwinresidentialandcommercialrealestate.com.au,,Darwin Residential and Commercial Real Estate,08 8945 9372,,NOT YET FINALISED,,info@drcre.com.au
http://www.darwinrentals.com.au,,Darwin Rental Specialists,08 8948 8588,,AS ABOVE,,reception@darwinrentals.com.au
http://www.crnt.com.au,STUART PARK,Core Realty,0450 473 710,NT,304/42 GOTHENBURG CRES,0820,nikki@crnt.com.au
http://www.completerealestatent.com.au,,Complete Real Estate NT,08 8983 1266,,HOWARD SPRINGS,,info@crent.com.au
http://www.colliersnt.com.au,WINNELLIE,Colliers Real Estate,08 8997 0888,NT,396 STUART HWY,0820,colliers@colliersnt.com
http://www.century21.com.au/palmerston,,Century 21 Millgate Real Estate,08 8931 7600,,XX,,admin.palmerston@century21.com.au
http://www.caahc.org.au,,Central Australian Affordable Housing Company,08 8952 1266,,24 KIDMAN ST,,carol.hedges@caahc.org.au
http://www.carolneed.com.au,FANNIE BAY,Carol Need Real Estate,08 8941 4950,NT,5/7 FANNIE BAY PL,0820,carol@carolneed.com.au
http://www.castlerealestate.com.au,DURACK,Castle Real Estate - Darwin,08 8932 8658,NT,15 CROWSON CL,0830,admin@castlerealestate.com.au
http://www.call2view.com.au,YARRAWONGA,Call2View,08 8932 8858,,9/41 GEORGINA CRES,,reception@call2view.com.au
http://www.belleproperty.com/darwin,RAPID CREEK,Belle Property,0411 647 198,,4/6 CHAPMAN CT,,info.darwin@belleproperty.com
http://www.acebodycorp.com.au,CULLEN BAY,Ace Body Corporate Management - Tennant Creek,08 8981 8025,,20/48 MARINA BVD,0820,darwin@acebodycorp.com.au
http://www.acebodycorp.com.au,CULLEN BAY,Ace Body Corporate Management - Nhulunbuy,08 8981 8025,,20/48 MARINA BVD,0820,darwin@acebodycorp.com.au
http://www.acebodycorp.com.au,CULLEN BAY,Ace Body Corporate Management - Katherine,08 8981 8025,,20/48 MARINA BVD,0820,darwin@acebodycorp.com.au
http://www.acebodycorp.com.au,CULLEN BAY,Ace Body Corporate Management - Alice Springs,08 8981 8025,,20/48 MARINA BVD,0820,darwin@acebodycorp.com.au
http://approvednt.com.au,PALMERSTON,Approved Real Estate NT,08 8931 2005,NT,2/10 PALMERSTON CCT,0830,enquiries@approvednt.com.au
http://www.andrewsproperty.com.au,TENNANT CREEK,Andrews Property,08 8962 2111,NT,1/129 PATERSON ST,0860,regional@andrewsproperty.com.au
